Date,Time,Session duration,Entry URL,Exit URL,Referrer:,Clarity user ID,Browser,Device,OS,Country,Page count,Session clicks,Favorite,Recording link
1/6/2025,8:46 PM,8:27,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawHpBElleHRuA2FlbQIxMQABHcOegU4D1GE9iLQnx6RUDnlgirrsMQp4g0xH5EmaasGipeZhAJisPdw8Ag_aem_UTYaEpsTuqrUHp1AhpeaKg,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawHpBElleHRuA2FlbQIxMQABHcOegU4D1GE9iLQnx6RUDnlgirrsMQp4g0xH5EmaasGipeZhAJisPdw8Ag_aem_UTYaEpsTuqrUHp1AhpeaKg,https://l.facebook.com/,q6izch,Safari,PC,MacOS,Romania,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/q6izch/hyvf8o/?ss=1736189179000&sd=507
1/6/2025,8:45 PM,1:43,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawHpBCNleHRuA2FlbQIxMQABHcOegU4D1GE9iLQnx6RUDnlgirrsMQp4g0xH5EmaasGipeZhAJisPdw8Ag_aem_UTYaEpsTuqrUHp1AhpeaKg,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawHpBCNleHRuA2FlbQIxMQABHcOegU4D1GE9iLQnx6RUDnlgirrsMQp4g0xH5EmaasGipeZhAJisPdw8Ag_aem_UTYaEpsTuqrUHp1AhpeaKg,https://l.facebook.com/,1iacngx,Unknown,Mobile,Android,Romania,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/1iacngx/adinqn/?ss=1736189141000&sd=103
1/6/2025,8:45 PM,7:22,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawHpBAtleHRuA2FlbQIxMAABHV_QgFfZf96sImzR8YBUQhuB63o_3BqbyVvA5kkJAZiDI10L2ZA5DElwUQ_aem_E5CNYth_bsmtdbB3mYT3IA,https://hoperiddle.s2-tastewp.com/,https://l.facebook.com/,l70lq4,Chrome,PC,Windows,Romania,7,4,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/l70lq4/cmae2u/?ss=1736189119000&sd=442
1/6/2025,8:29 PM,0:43,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR3H32_NXR6BTGmhBrqgBPk66cd41ed_qJM3cgtCZyKbsFPh6bO8Kmg9c_0_aem_WhUO4SJ8gVSSeRciT3-WZw,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR3H32_NXR6BTGmhBrqgBPk66cd41ed_qJM3cgtCZyKbsFPh6bO8Kmg9c_0_aem_WhUO4SJ8gVSSeRciT3-WZw,http://m.facebook.com/,1rugv9b,Unknown,Mobile,iOS,Romania,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/1rugv9b/4darze/?ss=1736188148000&sd=43
1/6/2025,8:28 PM,0:12,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR3DnoFOA9RhPYi0J8ekVA55YIq67DEKeINMR-RJmmrBoqXmYQCYrD3cPAI_aem_UTYaEpsTuqrUHp1AhpeaKg,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR3DnoFOA9RhPYi0J8ekVA55YIq67DEKeINMR-RJmmrBoqXmYQCYrD3cPAI_aem_UTYaEpsTuqrUHp1AhpeaKg,http://m.facebook.com/,549fer,Unknown,Mobile,iOS,Romania,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/549fer/1refs7l/?ss=1736188111000&sd=12
1/6/2025,5:19 PM,0:06,https://hoperiddle.s2-tastewp.com/contact-proba/,https://hoperiddle.s2-tastewp.com/contact-proba/,,1rvfyev,Chrome,PC,MacOS,Romania,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/1rvfyev/1ymfi72/?ss=1736176783000&sd=6
1/6/2025,3:41 PM,1:24,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawHovMBleHRuA2FlbQIxMAABHd5UQempVTFqOpXLzBtLy1X_X8HxYJjT57_ys51nksp1-JteLpCbJWGZGQ_aem_GU5pVj7EV60y8qyQbegrLg,https://hoperiddle.s2-tastewp.com/2024/11/03/pomegranate-salad/,https://l.facebook.com/,uxlpch,Chrome,PC,Windows,Romania,3,5,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/uxlpch/wcktym/?ss=1736170867000&sd=84
1/6/2025,10:20 AM,0:14,https://hoperiddle.s2-tastewp.com/,https://hoperiddle.s2-tastewp.com/,https://hoperiddle.s2-tastewp.com/wp-admin/upload.php?page=webp_express_conversion_page,wvoybd,Chrome,PC,Windows,Romania,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/wvoybd/qve7cy/?ss=1736151630000&sd=14
1/5/2025,10:17 PM,0:40,https://hoperiddle.s2-tastewp.com/recipes/,https://hoperiddle.s2-tastewp.com/2024/11/11/microwave-mug-cake/,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR0h6o-D_cEHGGdH7Zac4x0fOk8vZjHVtQvxUKJ6N-l7Gl4VJSNVLuafruU_aem_IiIM3N9XmOEmR6zYtjNMiw,17yl2xd,ChromeMobile,Mobile,iOS,Romania,3,2,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/17yl2xd/vfm64n/?ss=1736108252000&sd=40
1/5/2025,10:17 PM,0:08,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR0h6o-D_cEHGGdH7Zac4x0fOk8vZjHVtQvxUKJ6N-l7Gl4VJSNVLuafruU_aem_IiIM3N9XmOEmR6zYtjNMiw,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR0h6o-D_cEHGGdH7Zac4x0fOk8vZjHVtQvxUKJ6N-l7Gl4VJSNVLuafruU_aem_IiIM3N9XmOEmR6zYtjNMiw,,17yl2xd,ChromeMobile,Mobile,iOS,Romania,1,2,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/17yl2xd/58efek/?ss=1736108243000&sd=8
